Unnamed: 0,Cars,2021_week,Cumulative,Avg/wk,2021_Y-t-d,country,date
Total Intermodal Units,"244,900",-6.0%,"244,900",-6.0%,11.5%,U.S,2021-09-15
Total Traffic,"468,610",-1.3%,"468,610",-1.3%,10.0%,U.S,2021-09-15
Total Carloads,"73,214",-5.8%,"73,214",-5.8%,3.3%,Canadian,2021-09-15
Chemicals,"9,750",-16.1%,"9,750",-16.1%,2.5%,Canadian,2021-09-15
Coal,"7,850",25.3%,"7,850",25.3%,14.0%,Canadian,2021-09-15
"Farm Products excl. Grain, and Food","6,888",-30.6%,"6,888",-30.6%,-13.2%,Canadian,2021-09-15
Forest Products,"6,244",1.4%,"6,244",1.4%,2.2%,Canadian,2021-09-15
Grain,"7,254",-18.2%,"7,254",-18.2%,1.8%,Canadian,2021-09-15
Metallic Ores and Metals,"17,053",9.2%,"17,053",9.2%,6.5%,Canadian,2021-09-15
Motor Vehicles and Parts,"2,519",-48.4%,"2,519",-48.4%,9.8%,Canadian,2021-09-15
Nonmetallic Minerals,"5,842",-4.5%,"5,842",-4.5%,11.6%,Canadian,2021-09-15
Petroleum and Petroleum Products,"8,225",36.8%,"8,225",36.8%,5.8%,Canadian,2021-09-15
Other,"1,589",-30.9%,"1,589",-30.9%,-16.1%,Canadian,2021-09-15
Total Intermodal Units,"62,820",-11.1%,"62,820",-11.1%,8.7%,Canadian,2021-09-15
Total Traffic,"136,034",-8.3%,"136,034",-8.3%,5.9%,Canadian,2021-09-15
Total Carloads,"19,250",13.5%,"19,250",13.5%,9.2%,Mexican,2021-09-15
Chemicals,"1,004",16.5%,"1,004",16.5%,-4.6%,Mexican,2021-09-15
Coal,66,1550.0%,66,1550.0%,436.7%,Mexican,2021-09-15
"Farm Products excl. Grain, and Food","1,982",0.7%,"1,982",0.7%,4.0%,Mexican,2021-09-15
Forest Products,13,333.3%,13,333.3%,-15.5%,Mexican,2021-09-15
Grain,"1,988",14.2%,"1,988",14.2%,-9.2%,Mexican,2021-09-15
Metallic Ores and Metals,"5,244",35.4%,"5,244",35.4%,15.2%,Mexican,2021-09-15
Motor Vehicles and Parts,"3,404",-6.3%,"3,404",-6.3%,14.8%,Mexican,2021-09-15
Nonmetallic Minerals,"3,875",11.9%,"3,875",11.9%,10.7%,Mexican,2021-09-15
Petroleum and Petroleum Products,"1,043",24.0%,"1,043",24.0%,33.1%,Mexican,2021-09-15
Other,631,10.3%,631,10.3%,-3.4%,Mexican,2021-09-15
Total Intermodal Units,"14,032",-11.2%,"14,032",-11.2%,2.1%,Mexican,2021-09-15
Total Traffic,"33,282",1.6%,"33,282",1.6%,6.0%,Mexican,2021-09-15
Total Carloads,"316,174",2.4%,"316,174",2.4%,7.1%,North_american,2021-09-15
Chemicals,"40,661",-2.6%,"40,661",-2.6%,4.6%,North_american,2021-09-15
Coal,"77,843",17.1%,"77,843",17.1%,12.0%,North_american,2021-09-15
"Farm Products excl. Grain, and Food","23,842",-12.4%,"23,842",-12.4%,-2.4%,North_american,2021-09-15
Forest Products,"15,811",4.7%,"15,811",4.7%,5.9%,North_american,2021-09-15
Grain,"25,960",-19.3%,"25,960",-19.3%,6.0%,North_american,2021-09-15
Metallic Ores and Metals,"44,692",18.7%,"44,692",18.7%,17.9%,North_american,2021-09-15
Motor Vehicles and Parts,"16,044",-31.7%,"16,044",-31.7%,9.9%,North_american,2021-09-15
Nonmetallic Minerals,"40,193",10.6%,"40,193",10.6%,2.5%,North_american,2021-09-15
Petroleum and Petroleum Products,"19,065",10.8%,"19,065",10.8%,1.8%,North_american,2021-09-15
Other,"12,063",5.7%,"12,063",5.7%,0.5%,North_american,2021-09-15
Total Intermodal Units,"321,752",-7.3%,"321,752",-7.3%,10.5%,North_american,2021-09-15
Total Traffic,"637,926",-2.7%,"637,926",-2.7%,8.9%,North_american,2021-09-15
Total Carloads,"234,790",3.5%,"234,790",3.5%,8.0%,U.S,2021-09-22
Chemicals,"30,998",3.6%,"30,998",3.6%,5.6%,U.S,2021-09-22
Coal,"68,820",11.7%,"68,820",11.7%,11.7%,U.S,2021-09-22
"Farm Products excl. Grain, and Food","15,540",0.5%,"15,540",0.5%,2.4%,U.S,2021-09-22
Forest Products,"10,448",10.1%,"10,448",10.1%,8.5%,U.S,2021-09-22
Grain,"19,432",-11.8%,"19,432",-11.8%,8.8%,U.S,2021-09-22
Metallic Ores and Metals,"24,798",26.6%,"24,798",26.6%,27.9%,U.S,2021-09-22
Motor Vehicles and Parts,"11,709",-33.5%,"11,709",-33.5%,6.9%,U.S,2021-09-22
Nonmetallic Minerals,"32,676",6.7%,"32,676",6.7%,-0.1%,U.S,2021-09-22
Petroleum and Petroleum Products,"10,494",-3.6%,"10,494",-3.6%,-3.6%,U.S,2021-09-22
Other,"9,875",3.3%,"9,875",3.3%,4.0%,U.S,2021-09-22
Total Intermodal Units,"270,832",-8.3%,"270,832",-8.3%,10.9%,U.S,2021-09-22
Total Traffic,"505,622",-3.1%,"505,622",-3.1%,9.6%,U.S,2021-09-22
Total Carloads,"77,935",-6.8%,"77,935",-6.8%,3.0%,Canadian,2021-09-22
Chemicals,"11,152",-8.1%,"11,152",-8.1%,2.2%,Canadian,2021-09-22
Coal,"8,618",28.7%,"8,618",28.7%,14.4%,Canadian,2021-09-22
"Farm Products excl. Grain, and Food","9,012",-13.1%,"9,012",-13.1%,-13.2%,Canadian,2021-09-22
Forest Products,"6,504",5.3%,"6,504",5.3%,2.3%,Canadian,2021-09-22
Grain,"6,410",-33.1%,"6,410",-33.1%,0.8%,Canadian,2021-09-22
Metallic Ores and Metals,"16,856",1.2%,"16,856",1.2%,6.3%,Canadian,2021-09-22
Motor Vehicles and Parts,"3,460",-42.8%,"3,460",-42.8%,7.5%,Canadian,2021-09-22
Nonmetallic Minerals,"6,357",0.6%,"6,357",0.6%,11.2%,Canadian,2021-09-22
Petroleum and Petroleum Products,"7,931",12.0%,"7,931",12.0%,6.0%,Canadian,2021-09-22
Other,"1,635",-35.2%,"1,635",-35.2%,-16.8%,Canadian,2021-09-22
Total Intermodal Units,"74,845",0.8%,"74,845",0.8%,8.5%,Canadian,2021-09-22
Total Traffic,"152,780",-3.2%,"152,780",-3.2%,5.6%,Canadian,2021-09-22
Total Carloads,"18,594",10.5%,"18,594",10.5%,9.3%,Mexican,2021-09-22
Chemicals,832,5.7%,832,5.7%,-4.4%,Mexican,2021-09-22
Coal,55,1000.0%,55,1000.0%,442.8%,Mexican,2021-09-22
"Farm Products excl. Grain, and Food","1,548",-26.2%,"1,548",-26.2%,3.2%,Mexican,2021-09-22
Forest Products,18,63.6%,18,63.6%,-14.4%,Mexican,2021-09-22
Grain,"2,110",30.7%,"2,110",30.7%,-8.4%,Mexican,2021-09-22
Metallic Ores and Metals,"4,885",26.2%,"4,885",26.2%,15.5%,Mexican,2021-09-22
Motor Vehicles and Parts,"2,898",-23.7%,"2,898",-23.7%,13.6%,Mexican,2021-09-22
Nonmetallic Minerals,"4,362",20.0%,"4,362",20.0%,10.9%,Mexican,2021-09-22
Petroleum and Petroleum Products,"1,249",112.4%,"1,249",112.4%,34.5%,Mexican,2021-09-22
Other,637,52.4%,637,52.4%,-2.5%,Mexican,2021-09-22
Total Intermodal Units,"14,111",0.3%,"14,111",0.3%,2.1%,Mexican,2021-09-22
Total Traffic,"32,705",5.9%,"32,705",5.9%,6.0%,Mexican,2021-09-22
Total Carloads,"331,319",1.3%,"331,319",1.3%,6.9%,North_american,2021-09-22
Chemicals,"42,982",0.3%,"42,982",0.3%,4.5%,North_american,2021-09-22
Coal,"77,493",13.5%,"77,493",13.5%,12.1%,North_american,2021-09-22
"Farm Products excl. Grain, and Food","26,100",-6.6%,"26,100",-6.6%,-2.5%,North_american,2021-09-22
Forest Products,"16,970",8.2%,"16,970",8.2%,6.0%,North_american,2021-09-22
Grain,"27,952",-15.9%,"27,952",-15.9%,5.4%,North_american,2021-09-22
Metallic Ores and Metals,"46,539",16.0%,"46,539",16.0%,17.9%,North_american,2021-09-22
Motor Vehicles and Parts,"18,067",-34.2%,"18,067",-34.2%,8.2%,North_american,2021-09-22
Nonmetallic Minerals,"43,395",6.9%,"43,395",6.9%,2.6%,North_american,2021-09-22
Petroleum and Petroleum Products,"19,674",6.0%,"19,674",6.0%,1.9%,North_american,2021-09-22
Other,"12,147",-2.9%,"12,147",-2.9%,0.4%,North_american,2021-09-22
Total Intermodal Units,"359,788",-6.2%,"359,788",-6.2%,10.0%,North_american,2021-09-22
Total Traffic,"691,107",-2.8%,"691,107",-2.8%,8.5%,North_american,2021-09-22
Total Carloads,"239,069",6.6%,"239,069",6.6%,8.0%,U.S,2021-09-29
Chemicals,"32,033",6.4%,"32,033",6.4%,5.6%,U.S,2021-09-29
Coal,"70,002",20.0%,"70,002",20.0%,12.0%,U.S,2021-09-29
"Farm Products excl. Grain, and Food","15,503",-1.1%,"15,503",-1.1%,2.3%,U.S,2021-09-29
Forest Products,"10,210",7.0%,"10,210",7.0%,8.5%,U.S,2021-09-29
Grain,"21,864",-12.5%,"21,864",-12.5%,8.1%,U.S,2021-09-29
Metallic Ores and Metals,"24,120",22.4%,"24,120",22.4%,27.7%,U.S,2021-09-29
Motor Vehicles and Parts,"11,563",-29.2%,"11,563",-29.2%,5.6%,U.S,2021-09-29
Nonmetallic Minerals,"34,083",13.7%,"34,083",13.7%,0.3%,U.S,2021-09-29
Petroleum and Petroleum Products,"10,444",-0.6%,"10,444",-0.6%,-3.6%,U.S,2021-09-29
Other,"9,247",1.3%,"9,247",1.3%,3.9%,U.S,2021-09-29
Total Intermodal Units,"272,644",-7.3%,"272,644",-7.3%,10.4%,U.S,2021-09-29
Total Traffic,"511,713",-1.3%,"511,713",-1.3%,9.3%,U.S,2021-09-29
Total Carloads,"79,652",-2.5%,"79,652",-2.5%,2.9%,Canadian,2021-09-29
Chemicals,"10,452",-14.5%,"10,452",-14.5%,1.8%,Canadian,2021-09-29
Coal,"9,283",32.7%,"9,283",32.7%,14.9%,Canadian,2021-09-29
"Farm Products excl. Grain, and Food","8,263",-24.6%,"8,263",-24.6%,-13.6%,Canadian,2021-09-29
Forest Products,"6,246",-0.7%,"6,246",-0.7%,2.2%,Canadian,2021-09-29
Grain,"8,166",-15.5%,"8,166",-15.5%,0.3%,Canadian,2021-09-29
Metallic Ores and Metals,"17,007",13.1%,"17,007",13.1%,6.5%,Canadian,2021-09-29
Motor Vehicles and Parts,"3,520",-36.3%,"3,520",-36.3%,5.9%,Canadian,2021-09-29
Nonmetallic Minerals,"6,487",6.9%,"6,487",6.9%,11.1%,Canadian,2021-09-29
Petroleum and Petroleum Products,"8,505",23.1%,"8,505",23.1%,6.4%,Canadian,2021-09-29
Other,"1,723",-14.7%,"1,723",-14.7%,-16.8%,Canadian,2021-09-29
Total Intermodal Units,"71,153",-6.7%,"71,153",-6.7%,8.0%,Canadian,2021-09-29
Total Traffic,"150,805",-4.5%,"150,805",-4.5%,5.3%,Canadian,2021-09-29
Total Carloads,"19,976",11.1%,"19,976",11.1%,9.3%,Mexican,2021-09-29
Chemicals,959,8.4%,959,8.4%,-4.1%,Mexican,2021-09-29
Coal,63,350.0%,63,350.0%,440.1%,Mexican,2021-09-29
"Farm Products excl. Grain, and Food","2,236",2.4%,"2,236",2.4%,3.2%,Mexican,2021-09-29
Forest Products,26,85.7%,26,85.7%,-12.7%,Mexican,2021-09-29
Grain,"1,889",42.6%,"1,889",42.6%,-7.6%,Mexican,2021-09-29
Metallic Ores and Metals,"4,743",16.7%,"4,743",16.7%,15.5%,Mexican,2021-09-29
Motor Vehicles and Parts,"3,569",-14.6%,"3,569",-14.6%,12.7%,Mexican,2021-09-29
Nonmetallic Minerals,"4,450",16.6%,"4,450",16.6%,11.1%,Mexican,2021-09-29
Petroleum and Petroleum Products,"1,131",45.2%,"1,131",45.2%,34.7%,Mexican,2021-09-29
Other,910,25.7%,910,25.7%,-1.8%,Mexican,2021-09-29
Total Intermodal Units,"14,825",-10.6%,"14,825",-10.6%,1.7%,Mexican,2021-09-29
Total Traffic,"34,801",0.7%,"34,801",0.7%,5.9%,Mexican,2021-09-29
Total Carloads,"338,697",4.6%,"338,697",4.6%,6.8%,North_american,2021-09-29
Chemicals,"43,444",0.6%,"43,444",0.6%,4.4%,North_american,2021-09-29
Coal,"79,348",21.5%,"79,348",21.5%,12.3%,North_american,2021-09-29
"Farm Products excl. Grain, and Food","26,002",-9.7%,"26,002",-9.7%,-2.7%,North_american,2021-09-29
Forest Products,"16,482",4.1%,"16,482",4.1%,5.9%,North_american,2021-09-29
Grain,"31,919",-11.3%,"31,919",-11.3%,4.9%,North_american,2021-09-29
Metallic Ores and Metals,"45,870",18.2%,"45,870",18.2%,17.9%,North_american,2021-09-29
Motor Vehicles and Parts,"18,652",-28.4%,"18,652",-28.4%,6.9%,North_american,2021-09-29
Nonmetallic Minerals,"45,020",12.9%,"45,020",12.9%,2.9%,North_american,2021-09-29
Petroleum and Petroleum Products,"20,080",10.3%,"20,080",10.3%,2.1%,North_american,2021-09-29
Other,"11,880",0.0%,"11,880",0.0%,0.4%,North_american,2021-09-29
Total Intermodal Units,"358,622",-7.3%,"358,622",-7.3%,9.5%,North_american,2021-09-29
Total Traffic,"697,319",-1.9%,"697,319",-1.9%,8.2%,North_american,2021-09-29
Total Carloads,"241,910",4.2%,"241,910",4.2%,7.9%,U.S,2021-10-06
Chemicals,"32,762",4.5%,"32,762",4.5%,5.6%,U.S,2021-10-06
Coal,"65,187",11.0%,"65,187",11.0%,11.9%,U.S,2021-10-06
"Farm Products excl. Grain, and Food","16,670",2.5%,"16,670",2.5%,2.3%,U.S,2021-10-06
Forest Products,"10,628",10.2%,"10,628",10.2%,8.6%,U.S,2021-10-06
Grain,"26,007",-2.0%,"26,007",-2.0%,7.8%,U.S,2021-10-06
Metallic Ores and Metals,"23,999",10.7%,"23,999",10.7%,27.2%,U.S,2021-10-06
Motor Vehicles and Parts,"13,303",-18.8%,"13,303",-18.8%,4.8%,U.S,2021-10-06
Nonmetallic Minerals,"33,081",8.7%,"33,081",8.7%,0.5%,U.S,2021-10-06
Petroleum and Petroleum Products,"9,827",-5.8%,"9,827",-5.8%,-3.6%,U.S,2021-10-06
Other,"10,446",-3.1%,"10,446",-3.1%,3.7%,U.S,2021-10-06
Total Intermodal Units,"273,939",-4.4%,"273,939",-4.4%,9.9%,U.S,2021-10-06
Total Traffic,"515,849",-0.5%,"515,849",-0.5%,9.0%,U.S,2021-10-06
Total Carloads,"81,835",1.0%,"81,835",1.0%,2.8%,Canadian,2021-10-06
Chemicals,"11,676",-7.8%,"11,676",-7.8%,1.5%,Canadian,2021-10-06
Coal,"9,042",32.2%,"9,042",32.2%,15.4%,Canadian,2021-10-06
"Farm Products excl. Grain, and Food","8,332",-12.9%,"8,332",-12.9%,-13.6%,Canadian,2021-10-06
Forest Products,"6,327",-1.2%,"6,327",-1.2%,2.1%,Canadian,2021-10-06
Grain,"9,453",-7.1%,"9,453",-7.1%,0.1%,Canadian,2021-10-06
Metallic Ores and Metals,"17,092",15.3%,"17,092",15.3%,6.7%,Canadian,2021-10-06
Motor Vehicles and Parts,"3,557",-33.5%,"3,557",-33.5%,4.5%,Canadian,2021-10-06
Nonmetallic Minerals,"6,527",5.0%,"6,527",5.0%,10.9%,Canadian,2021-10-06
Petroleum and Petroleum Products,"8,213",14.8%,"8,213",14.8%,6.6%,Canadian,2021-10-06
Other,"1,616",-10.6%,"1,616",-10.6%,-16.6%,Canadian,2021-10-06
Total Intermodal Units,"70,024",-9.2%,"70,024",-9.2%,7.5%,Canadian,2021-10-06
Total Traffic,"151,859",-3.9%,"151,859",-3.9%,5.0%,Canadian,2021-10-06
Total Carloads,"16,697",-5.9%,"16,697",-5.9%,9.0%,Mexican,2021-10-06
Chemicals,"1,009",7.0%,"1,009",7.0%,-3.8%,Mexican,2021-10-06
Coal,70,159.3%,70,159.3%,425.0%,Mexican,2021-10-06
"Farm Products excl. Grain, and Food","1,771",-1.4%,"1,771",-1.4%,3.1%,Mexican,2021-10-06
Forest Products,13,85.7%,13,85.7%,-11.8%,Mexican,2021-10-06
Grain,"1,298",-18.6%,"1,298",-18.6%,-7.8%,Mexican,2021-10-06
Metallic Ores and Metals,"3,808",-10.9%,"3,808",-10.9%,14.9%,Mexican,2021-10-06
Motor Vehicles and Parts,"3,017",-24.7%,"3,017",-24.7%,11.5%,Mexican,2021-10-06
Nonmetallic Minerals,"4,034",4.3%,"4,034",4.3%,10.9%,Mexican,2021-10-06
Petroleum and Petroleum Products,975,45.3%,975,45.3%,34.9%,Mexican,2021-10-06
Other,702,26.0%,702,26.0%,-1.2%,Mexican,2021-10-06
Total Intermodal Units,"12,725",-25.7%,"12,725",-25.7%,0.9%,Mexican,2021-10-06
Total Traffic,"29,422",-15.6%,"29,422",-15.6%,5.3%,Mexican,2021-10-06
Total Carloads,"340,442",2.9%,"340,442",2.9%,6.7%,North_american,2021-10-06
Chemicals,"45,447",1.1%,"45,447",1.1%,4.3%,North_american,2021-10-06
Coal,"74,299",13.3%,"74,299",13.3%,12.4%,North_american,2021-10-06
"Farm Products excl. Grain, and Food","26,773",-3.1%,"26,773",-3.1%,-2.7%,North_american,2021-10-06
Forest Products,"16,968",5.7%,"16,968",5.7%,5.9%,North_american,2021-10-06
Grain,"36,758",-4.0%,"36,758",-4.0%,4.6%,North_american,2021-10-06
Metallic Ores and Metals,"44,899",10.1%,"44,899",10.1%,17.7%,North_american,2021-10-06
Motor Vehicles and Parts,"19,877",-22.8%,"19,877",-22.8%,5.9%,North_american,2021-10-06
Nonmetallic Minerals,"43,642",7.7%,"43,642",7.7%,3.0%,North_american,2021-10-06
Petroleum and Petroleum Products,"19,015",4.1%,"19,015",4.1%,2.1%,North_american,2021-10-06
Other,"12,764",-2.9%,"12,764",-2.9%,0.3%,North_american,2021-10-06
Total Intermodal Units,"356,688",-6.3%,"356,688",-6.3%,9.0%,North_american,2021-10-06
Total Traffic,"697,130",-2.0%,"697,130",-2.0%,7.9%,North_american,2021-10-06
Total Carloads,"239,821",4.0%,"239,821",4.0%,7.8%,U.S,2021-10-13
Chemicals,"32,928",6.0%,"32,928",6.0%,5.6%,U.S,2021-10-13
Coal,"67,680",9.3%,"67,680",9.3%,11.9%,U.S,2021-10-13
"Farm Products excl. Grain, and Food","16,080",-1.0%,"16,080",-1.0%,2.2%,U.S,2021-10-13
Forest Products,"10,253",6.7%,"10,253",6.7%,8.5%,U.S,2021-10-13
Grain,"24,037",-12.7%,"24,037",-12.7%,7.1%,U.S,2021-10-13
Metallic Ores and Metals,"22,369",28.0%,"22,369",28.0%,27.2%,U.S,2021-10-13
Motor Vehicles and Parts,"13,058",-18.9%,"13,058",-18.9%,4.0%,U.S,2021-10-13
Nonmetallic Minerals,"33,087",8.5%,"33,087",8.5%,0.7%,U.S,2021-10-13
Petroleum and Petroleum Products,"9,395",-8.2%,"9,395",-8.2%,-3.7%,U.S,2021-10-13
Other,"10,934",9.0%,"10,934",9.0%,3.9%,U.S,2021-10-13
Total Intermodal Units,"266,821",-7.8%,"266,821",-7.8%,9.4%,U.S,2021-10-13
Total Traffic,"506,642",-2.6%,"506,642",-2.6%,8.7%,U.S,2021-10-13
Total Carloads,"76,424",-4.2%,"76,424",-4.2%,2.6%,Canadian,2021-10-13
Chemicals,"11,520",-0.7%,"11,520",-0.7%,1.5%,Canadian,2021-10-13
Coal,"8,651",33.2%,"8,651",33.2%,15.9%,Canadian,2021-10-13
"Farm Products excl. Grain, and Food","8,486",-13.0%,"8,486",-13.0%,-13.6%,Canadian,2021-10-13
Forest Products,"6,325",-3.2%,"6,325",-3.2%,2.0%,Canadian,2021-10-13
Grain,"8,532",-19.8%,"8,532",-19.8%,-0.5%,Canadian,2021-10-13
Metallic Ores and Metals,"12,456",-16.5%,"12,456",-16.5%,6.1%,Canadian,2021-10-13
Motor Vehicles and Parts,"3,950",-21.7%,"3,950",-21.7%,3.6%,Canadian,2021-10-13
Nonmetallic Minerals,"6,886",19.0%,"6,886",19.0%,11.1%,Canadian,2021-10-13
Petroleum and Petroleum Products,"8,133",14.3%,"8,133",14.3%,6.8%,Canadian,2021-10-13
Other,"1,485",-20.0%,"1,485",-20.0%,-16.7%,Canadian,2021-10-13
Total Intermodal Units,"73,414",-7.2%,"73,414",-7.2%,7.1%,Canadian,2021-10-13
Total Traffic,"149,838",-5.7%,"149,838",-5.7%,4.7%,Canadian,2021-10-13
Total Carloads,"19,108",-8.8%,"19,108",-8.8%,7.7%,Mexican,2021-10-13
Chemicals,924,-13.2%,924,-13.2%,-4.9%,Mexican,2021-10-13
Coal,91,4450.0%,91,4450.0%,437.4%,Mexican,2021-10-13
"Farm Products excl. Grain, and Food","1,986",-24.5%,"1,986",-24.5%,1.5%,Mexican,2021-10-13
Forest Products,17,30.8%,17,30.8%,-11.7%,Mexican,2021-10-13
Grain,"1,860",2.4%,"1,860",2.4%,-8.5%,Mexican,2021-10-13
Metallic Ores and Metals,"4,736",-3.3%,"4,736",-3.3%,13.7%,Mexican,2021-10-13
Motor Vehicles and Parts,"3,089",-35.1%,"3,089",-35.1%,9.4%,Mexican,2021-10-13
Nonmetallic Minerals,"4,646",0.8%,"4,646",0.8%,9.3%,Mexican,2021-10-13
Petroleum and Petroleum Products,972,72.0%,972,72.0%,35.0%,Mexican,2021-10-13
Other,787,32.5%,787,32.5%,-1.1%,Mexican,2021-10-13
Total Intermodal Units,"15,756",-8.8%,"15,756",-8.8%,-0.2%,Mexican,2021-10-13
Total Traffic,"34,864",-8.8%,"34,864",-8.8%,4.1%,Mexican,2021-10-13
Total Carloads,"335,353",1.2%,"335,353",1.2%,6.5%,North_american,2021-10-13
Chemicals,"45,372",3.8%,"45,372",3.8%,4.2%,North_american,2021-10-13
Coal,"76,422",11.7%,"76,422",11.7%,12.4%,North_american,2021-10-13
"Farm Products excl. Grain, and Food","26,552",-7.3%,"26,552",-7.3%,-2.9%,North_american,2021-10-13
Forest Products,"16,595",2.7%,"16,595",2.7%,5.8%,North_american,2021-10-13
Grain,"34,429",-13.9%,"34,429",-13.9%,4.0%,North_american,2021-10-13
Metallic Ores and Metals,"39,561",6.1%,"39,561",6.1%,17.3%,North_american,2021-10-13
Motor Vehicles and Parts,"20,097",-22.4%,"20,097",-22.4%,4.9%,North_american,2021-10-13
Nonmetallic Minerals,"44,619",9.2%,"44,619",9.2%,3.0%,North_american,2021-10-13
Petroleum and Petroleum Products,"18,500",3.3%,"18,500",3.3%,2.1%,North_american,2021-10-13
Other,"13,206",5.8%,"13,206",5.8%,0.4%,North_american,2021-10-13
Total Intermodal Units,"355,991",-7.8%,"355,991",-7.8%,8.5%,North_american,2021-10-13
Total Traffic,"691,344",-3.6%,"691,344",-3.6%,7.6%,North_american,2021-10-13
Total Carloads,"229,730",1.2%,"229,730",1.2%,7.6%,U.S,2021-10-20
Chemicals,"32,721",10.1%,"32,721",10.1%,5.7%,U.S,2021-10-20
Coal,"57,772",-4.1%,"57,772",-4.1%,11.5%,U.S,2021-10-20
"Farm Products excl. Grain, and Food","17,142",5.1%,"17,142",5.1%,2.3%,U.S,2021-10-20
Forest Products,"9,886",6.0%,"9,886",6.0%,8.4%,U.S,2021-10-20
Grain,"25,133",-1.6%,"25,133",-1.6%,6.9%,U.S,2021-10-20
Metallic Ores and Metals,"21,990",18.7%,"21,990",18.7%,27.0%,U.S,2021-10-20
Motor Vehicles and Parts,"13,374",-14.5%,"13,374",-14.5%,3.5%,U.S,2021-10-20
Nonmetallic Minerals,"32,210",3.7%,"32,210",3.7%,0.8%,U.S,2021-10-20
Petroleum and Petroleum Products,"9,901",-3.6%,"9,901",-3.6%,-3.7%,U.S,2021-10-20
Other,"9,601",-7.7%,"9,601",-7.7%,3.6%,U.S,2021-10-20
Total Intermodal Units,"267,253",-8.5%,"267,253",-8.5%,8.9%,U.S,2021-10-20
Total Traffic,"496,983",-4.2%,"496,983",-4.2%,8.3%,U.S,2021-10-20
Total Carloads,"79,042",-1.7%,"79,042",-1.7%,2.5%,Canadian,2021-10-20
Chemicals,"11,712",-5.7%,"11,712",-5.7%,1.3%,Canadian,2021-10-20
Coal,"8,331",35.8%,"8,331",35.8%,16.3%,Canadian,2021-10-20
"Farm Products excl. Grain, and Food","7,655",-15.2%,"7,655",-15.2%,-13.6%,Canadian,2021-10-20
Forest Products,"6,052",-4.8%,"6,052",-4.8%,1.8%,Canadian,2021-10-20
Grain,"9,600",-18.5%,"9,600",-18.5%,-1.1%,Canadian,2021-10-20
Metallic Ores and Metals,"15,888",-2.0%,"15,888",-2.0%,5.9%,Canadian,2021-10-20
Motor Vehicles and Parts,"3,404",-23.6%,"3,404",-23.6%,2.9%,Canadian,2021-10-20
Nonmetallic Minerals,"6,535",28.3%,"6,535",28.3%,11.5%,Canadian,2021-10-20
Petroleum and Petroleum Products,"8,591",18.2%,"8,591",18.2%,7.0%,Canadian,2021-10-20
Other,"1,274",-22.3%,"1,274",-22.3%,-16.8%,Canadian,2021-10-20
Total Intermodal Units,"66,873",-14.3%,"66,873",-14.3%,6.5%,Canadian,2021-10-20
Total Traffic,"145,915",-7.9%,"145,915",-7.9%,4.4%,Canadian,2021-10-20
Total Carloads,"20,112",-5.8%,"20,112",-5.8%,7.3%,Mexican,2021-10-20
Chemicals,957,-12.0%,957,-12.0%,-5.1%,Mexican,2021-10-20
Coal,90,1025.0%,90,1025.0%,446.6%,Mexican,2021-10-20
"Farm Products excl. Grain, and Food","2,237",-20.2%,"2,237",-20.2%,0.8%,Mexican,2021-10-20
Forest Products,21,31.3%,21,31.3%,-10.9%,Mexican,2021-10-20
Grain,"1,508",-13.2%,"1,508",-13.2%,-8.6%,Mexican,2021-10-20
Metallic Ores and Metals,"5,286",6.8%,"5,286",6.8%,13.5%,Mexican,2021-10-20
Motor Vehicles and Parts,"3,682",-24.7%,"3,682",-24.7%,8.2%,Mexican,2021-10-20
Nonmetallic Minerals,"4,562",-1.3%,"4,562",-1.3%,9.0%,Mexican,2021-10-20
Petroleum and Petroleum Products,"1,006",73.1%,"1,006",73.1%,35.6%,Mexican,2021-10-20
Other,763,15.4%,763,15.4%,-0.7%,Mexican,2021-10-20
Total Intermodal Units,"15,889",-3.3%,"15,889",-3.3%,-0.3%,Mexican,2021-10-20
Total Traffic,"36,001",-4.7%,"36,001",-4.7%,3.8%,Mexican,2021-10-20
Total Carloads,"328,884",0.0%,"328,884",0.0%,6.4%,North_american,2021-10-20
Chemicals,"45,390",5.0%,"45,390",5.0%,4.3%,North_american,2021-10-20
Coal,"66,193",-0.3%,"66,193",-0.3%,12.0%,North_american,2021-10-20
"Farm Products excl. Grain, and Food","27,034",-3.9%,"27,034",-3.9%,-2.9%,North_american,2021-10-20
Forest Products,"15,959",1.6%,"15,959",1.6%,5.7%,North_american,2021-10-20
Grain,"36,241",-7.2%,"36,241",-7.2%,3.6%,North_american,2021-10-20
Metallic Ores and Metals,"43,164",8.8%,"43,164",8.8%,17.1%,North_american,2021-10-20
Motor Vehicles and Parts,"20,460",-18.1%,"20,460",-18.1%,4.2%,North_american,2021-10-20
Nonmetallic Minerals,"43,307",6.2%,"43,307",6.2%,3.1%,North_american,2021-10-20
Petroleum and Petroleum Products,"19,498",7.6%,"19,498",7.6%,2.3%,North_american,2021-10-20
Other,"11,638",-8.4%,"11,638",-8.4%,0.2%,North_american,2021-10-20
Total Intermodal Units,"350,015",-9.4%,"350,015",-9.4%,8.0%,North_american,2021-10-20
Total Traffic,"678,899",-5.1%,"678,899",-5.1%,7.2%,North_american,2021-10-20
Total Carloads,"239,195",5.1%,"239,195",5.1%,7.5%,U.S,2021-10-27
Chemicals,"31,454",1.7%,"31,454",1.7%,5.6%,U.S,2021-10-27
